name,email,class_,profile_url,newbie_completed,intro_completed,regular_completed,certificates
student43,student43@pybites.org,Period 2,https://codechalleng.es/profiles/student43,25,0,0,
student44,student44@pybites.org,Period 2,https://codechalleng.es/profiles/student44,25,0,0,
student45,student45@pybites.org,Period 2,https://codechalleng.es/profiles/student45,6,1,0,
student46,student46@pybites.org,Period 2,https://codechalleng.es/profiles/student46,25,10,5,
student47,student47@pybites.org,Period 2,https://codechalleng.es/profiles/student47,5,0,2,
student48,student48@pybites.org,Period 2,https://codechalleng.es/profiles/student48,25,4,0,
student49,student49@pybites.org,Period 2,https://codechalleng.es/profiles/student49,5,0,0,
student50,student50@pybites.org,Period 2,https://codechalleng.es/profiles/student50,25,10,5,
student51,student51@pybites.org,Period 2,https://codechalleng.es/profiles/student51,25,10,5,
student52,student52@pybites.org,Period 2,https://codechalleng.es/profiles/student52,25,0,0,
student53,student53@pybites.org,Period 2,https://codechalleng.es/profiles/student53,25,0,0,
student54,student54@pybites.org,Period 2,https://codechalleng.es/profiles/student54,24,10,5,
student55,student55@pybites.org,Period 2,https://codechalleng.es/profiles/student55,24,0,0,
student56,student56@pybites.org,Period 2,https://codechalleng.es/profiles/student56,1,0,0,
student57,student57@pybites.org,Period 3,https://codechalleng.es/profiles/student57,25,10,0,
student58,student58@pybites.org,Period 3,https://codechalleng.es/profiles/student58,25,6,0,
student59,student59@pybites.org,Period 3,https://codechalleng.es/profiles/student59,25,4,0,
student60,student60@pybites.org,Period 3,https://codechalleng.es/profiles/student60,25,10,0,
student61,student61@pybites.org,Period 3,https://codechalleng.es/profiles/student61,25,6,0,
student62,student62@pybites.org,Period 3,https://codechalleng.es/profiles/student62,25,10,0,
student63,student63@pybites.org,Period 3,https://codechalleng.es/profiles/student63,25,10,0,
student64,student64@pybites.org,Period 3,https://codechalleng.es/profiles/student64,25,10,0,
student65,student65@pybites.org,Period 3,https://codechalleng.es/profiles/student65,25,10,0,
student66,student66@pybites.org,Period 3,https://codechalleng.es/profiles/student66,1,6,0,
student67,student67@pybites.org,Period 3,https://codechalleng.es/profiles/student67,25,6,0,
student68,student68@pybites.org,Period 3,https://codechalleng.es/profiles/student68,18,10,0,
student69,student69@pybites.org,Period 3,https://codechalleng.es/profiles/student69,25,6,0,
student70,student70@pybites.org,Period 3,https://codechalleng.es/profiles/student70,25,10,0,
student71,student71@pybites.org,Period 3,https://codechalleng.es/profiles/student71,13,1,0,
student72,student72@pybites.org,Period 3,https://codechalleng.es/profiles/student72,1,0,0,
student73,student73@pybites.org,Period 3,https://codechalleng.es/profiles/student73,7,0,0,
student74,student74@pybites.org,Period 3,https://codechalleng.es/profiles/student74,6,1,0,
student75,student75@pybites.org,Period 3,https://codechalleng.es/profiles/student75,12,0,0,
student76,student76@pybites.org,Period 4,https://codechalleng.es/profiles/student76,25,10,0,
student77,student77@pybites.org,Period 4,https://codechalleng.es/profiles/student77,25,10,0,
student78,student78@pybites.org,Period 4,https://codechalleng.es/profiles/student78,25,8,0,
student79,student79@pybites.org,Period 4,https://codechalleng.es/profiles/student79,25,10,0,
student80,student80@pybites.org,Period 4,https://codechalleng.es/profiles/student80,25,4,0,
student81,student81@pybites.org,Period 4,https://codechalleng.es/profiles/student81,25,10,0,
student82,student82@pybites.org,Period 4,https://codechalleng.es/profiles/student82,20,0,0,
student83,student83@pybites.org,Period 4,https://codechalleng.es/profiles/student83,25,10,0,
student84,student84@pybites.org,Period 4,https://codechalleng.es/profiles/student84,25,2,0,
student85,student85@pybites.org,Period 4,https://codechalleng.es/profiles/student85,10,10,0,
student86,student86@pybites.org,Period 4,https://codechalleng.es/profiles/student86,25,10,0,
student87,student87@pybites.org,Period 4,https://codechalleng.es/profiles/student87,25,10,0,
student88,student88@pybites.org,Period 4,https://codechalleng.es/profiles/student88,25,10,0,
student89,student89@pybites.org,Period 4,https://codechalleng.es/profiles/student89,25,10,0,
student90,student90@pybites.org,Period 4,https://codechalleng.es/profiles/student90,25,10,0,
student91,student91@pybites.org,Period 4,https://codechalleng.es/profiles/student91,18,5,0,
student92,student92@pybites.org,Period 4,https://codechalleng.es/profiles/student92,25,10,0,
student93,student93@pybites.org,Period 4,https://codechalleng.es/profiles/student93,25,10,0,
student94,student94@pybites.org,Period 4,https://codechalleng.es/profiles/student94,25,10,0,
student95,student95@pybites.org,Period 4,https://codechalleng.es/profiles/student95,17,5,0,
student96,student96@pybites.org,Period 4,https://codechalleng.es/profiles/student96,25,10,0,
student97,student97@pybites.org,Period 4,https://codechalleng.es/profiles/student97,25,0,0,
student98,student98@pybites.org,Period 4,https://codechalleng.es/profiles/student98,6,0,0,
student99,student99@pybites.org,Period 4,https://codechalleng.es/profiles/student99,2,0,0,
student100,student100@pybites.org,Period 4,https://codechalleng.es/profiles/student100,25,10,0,
student101,student101@pybites.org,Period 4,https://codechalleng.es/profiles/student101,2,0,0,
student102,student102@pybites.org,Period 4,https://codechalleng.es/profiles/student102,25,10,0,
student103,student103@pybites.org,Period 4,https://codechalleng.es/profiles/student103,0,0,0,
student104,student104@pybites.org,Period 4,https://codechalleng.es/profiles/student104,0,0,0,
student105,student105@pybites.org,Period 5,https://codechalleng.es/profiles/student105,25,10,2,
student106,student106@pybites.org,Period 5,https://codechalleng.es/profiles/student106,3,0,0,
student107,student107@pybites.org,Period 5,https://codechalleng.es/profiles/student107,10,10,0,
student108,student108@pybites.org,Period 5,https://codechalleng.es/profiles/student108,25,9,0,
student109,student109@pybites.org,Period 5,https://codechalleng.es/profiles/student109,25,3,0,
student110,student110@pybites.org,Period 5,https://codechalleng.es/profiles/student110,25,1,0,
student111,student111@pybites.org,Period 5,https://codechalleng.es/profiles/student111,25,10,0,
student112,student112@pybites.org,Period 5,https://codechalleng.es/profiles/student112,25,10,0,
student113,student113@pybites.org,Period 5,https://codechalleng.es/profiles/student113,25,3,0,
student114,student114@pybites.org,Period 5,https://codechalleng.es/profiles/student114,25,10,0,
student115,student115@pybites.org,Period 5,https://codechalleng.es/profiles/student115,4,1,0,
student116,student116@pybites.org,Period 5,https://codechalleng.es/profiles/student116,13,10,0,
student117,student117@pybites.org,Period 5,https://codechalleng.es/profiles/student117,1,0,0,
student118,student118@pybites.org,Period 5,https://codechalleng.es/profiles/student118,9,0,0,
student119,student119@pybites.org,Period 5,https://codechalleng.es/profiles/student119,8,1,0,
student120,student120@pybites.org,Period 5,https://codechalleng.es/profiles/student120,25,10,0,
student121,student121@pybites.org,Period 5,https://codechalleng.es/profiles/student121,25,10,0,
student122,student122@pybites.org,Period 5,https://codechalleng.es/profiles/student122,25,10,0,
student123,student123@pybites.org,Period 5,https://codechalleng.es/profiles/student123,25,10,0,
student124,student124@pybites.org,Period 5,https://codechalleng.es/profiles/student124,25,8,0,
student125,student125@pybites.org,Period 5,https://codechalleng.es/profiles/student125,25,10,0,
student126,student126@pybites.org,Period 6,https://codechalleng.es/profiles/student126,3,0,0,
student127,student127@pybites.org,Period 6,https://codechalleng.es/profiles/student127,20,10,0,
student128,student128@pybites.org,Period 6,https://codechalleng.es/profiles/student128,15,0,0,
student129,student129@pybites.org,Period 6,https://codechalleng.es/profiles/student129,9,1,0,
student130,student130@pybites.org,Period 6,https://codechalleng.es/profiles/student130,25,2,0,
student131,student131@pybites.org,Period 6,https://codechalleng.es/profiles/student131,13,0,0,
student132,student132@pybites.org,Period 6,https://codechalleng.es/profiles/student132,12,5,0,
student133,student133@pybites.org,Period 6,https://codechalleng.es/profiles/student133,3,1,0,
student134,student134@pybites.org,Period 6,https://codechalleng.es/profiles/student134,2,0,0,
student135,student135@pybites.org,Period 6,https://codechalleng.es/profiles/student135,3,0,0,
student136,student136@pybites.org,Period 6,https://codechalleng.es/profiles/student136,0,0,0,
